x	y	color
35491.89453125	9397.1650390625	0
35547.82421875	9447.3173828125	0
35498.1875	9438.5791015625	0
35521.56640625	9400.64453125	0
35549.34375	9387.80859375	0
35525.65234375	9363.0458984375	0
35657.8828125	9404.4765625	0
35697.34375	9388.2666015625	0
35688.9375	9434.33984375	0
35688.14453125	9482.6015625	0
35587.65625	9435.455078125	0
35627.08203125	9430.09375	0
35625.48046875	9400.7939453125	0
35586.34765625	9410.810546875	0
35668.171875	9251.568359375	0
35594.5390625	9362.55078125	0
35699.84375	9332.9501953125	0
35654.328125	9343.9443359375	0
35622.7578125	9297.69921875	0
35457.80859375	9141.5498046875	0
35513.8671875	9227.7490234375	0
35502.53515625	9274.044921875	0
35470.40234375	9254.708984375	0
35470.7421875	9193.25	0
35551.48828125	9260.5849609375	0
35626.90234375	9211.998046875	0
35528.078125	9275.2548828125	0
35593.6796875	9270.9296875	0
35588.84765625	9208.41796875	0
35583.97265625	9233.4833984375	0
35620.56640625	9183.916015625	0
35675.28515625	9024.7919921875	0
35673.01953125	9155.3466796875	0
35707.5703125	9152.19140625	0
35676.78125	9297.5029296875	0
35686.16015625	8467.5791015625	0
35705.03515625	8588.5244140625	0
35708.83984375	8484.919921875	0
35696.55859375	8723.3427734375	0
35718.65234375	8741.443359375	0
35686.4765625	8783.865234375	0
35557.43359375	8666.5712890625	0
35569.2265625	8765.2392578125	0
35591.1015625	8617.8671875	0
35492.98046875	8953.8896484375	0
35532.7734375	8965.8017578125	0
35461.49609375	9036.0546875	0
35614.23828125	8733.529296875	0
35630.98046875	9008.490234375	0
35607.34765625	9045.697265625	0
35619.0390625	8789.52734375	0
35513.92578125	8923.87109375	0
35482.23046875	8920.13671875	0
35459.828125	8902.759765625	0
35454.3359375	8952.91015625	0
35540.40234375	8722.4990234375	0
35537.984375	8896.1259765625	0
35590.4140625	8526.9189453125	0
35518.87890625	8620.7294921875	0
35495.21875	8701.1474609375	0
35524.62890625	8658.0751953125	0
35669.625	8519.5322265625	0
35655.890625	8577.576171875	0
35626.0859375	8554.111328125	0
35631.27734375	7967.298828125	0
35694.6875	7979.9716796875	0
35668.96875	8027.03125	0
35642.1484375	8002.90087890625	0
35727.4140625	7931.17626953125	0
35514.8671875	8456.76171875	0
35571.12109375	8468.8017578125	0
35644.74609375	8414.3740234375	0
35672.13671875	8491.7705078125	0
35657.54296875	8457.69921875	0
35560.9296875	8421.267578125	0
35516.79296875	8395.73046875	0
35546.48828125	8377.1826171875	0
35559.1484375	8238.4560546875	0
35559.65625	8280.884765625	0
35611.4765625	8258.841796875	0
35723.3828125	8322.560546875	0
35543.21875	8347.2822265625	0
35516.890625	8322.2314453125	0
35442.8359375	7924.837890625	0
35456.92578125	8333.7685546875	0
35503.00390625	8424.314453125	0
35465.625	8426.2021484375	0
35487.78515625	8370.0439453125	0
35501.31640625	8337.458984375	0
35497.97265625	8241.021484375	0
35508.51953125	8274.955078125	0
35502.9765625	8152.72998046875	0
35298.68359375	8088.0302734375	0
35251.47265625	8066.12744140625	0
35232.76953125	8102.8857421875	0
35289.1640625	8125.712890625	0
35245.21875	8133.36865234375	0
35295.75	8161.44482421875	0
35229.28515625	8192.93359375	0
35253.2421875	8196.767578125	0
35275.98046875	8194.44140625	0
35302	8194.5869140625	0
35267.8515625	8170.74365234375	0
35226.18359375	8314.3896484375	0
35275.91796875	8405.05078125	0
35247.08984375	8427.904296875	0
35264.10546875	8364.3974609375	0
35450.17578125	8386.501953125	0
35426.98828125	8443.806640625	0
35398.1328125	8323.1171875	0
35416.44921875	8370.767578125	0
35321.21875	8389.26171875	0
35366.66796875	8391.9033203125	0
35366.9453125	8348.0361328125	0
35313.640625	8345.77734375	0
35288.30859375	8482.890625	0
35346.0703125	8443.974609375	0
35303.48046875	8452.177734375	0
35388.10546875	8471.0068359375	0
35258.1953125	8505.291015625	0
35349.12890625	8540.080078125	0
35310.69921875	8529.8193359375	0
35311.0078125	8286.5947265625	0
35292.1171875	8262.8251953125	0
35418.80859375	8250.154296875	0
35431.328125	8287.55078125	0
35256.28125	8237.5927734375	0
35266.4453125	8291.216796875	0
35233.640625	8270.6552734375	0
35219.25	8246.78515625	0
35369.88671875	8194.97265625	0
35373.41015625	8228.5302734375	0
35291.2265625	8230.986328125	0
35047.34375	8143.0380859375	0
35075.14453125	8068.98828125	0
35068.45703125	8025.2744140625	0
35044.21484375	8078.673828125	0
35139.87890625	8242.61328125	0
35101.73828125	8195.271484375	0
35110.87109375	8227.994140625	0
35137.2265625	8206.3564453125	0
35096.8046875	8265.970703125	0
35054.390625	8188.6416015625	0
35067.828125	8226.369140625	0
35016.515625	8233.330078125	0
35153.3984375	8095.65234375	0
35128.61328125	8171.7099609375	0
35089.15625	8161.05517578125	0
35124.828125	8066.888671875	0
35043.2265625	8280.3466796875	0
35070.3125	8361.240234375	0
35029.734375	8328.9697265625	0
35075.5546875	8301.16015625	0
35046.29296875	8399.88671875	0
35073.37890625	8475.2578125	0
35074.76953125	8419.51953125	0
35136.09375	8322.7744140625	0
